codigo,codigo_problematica,problematica,codigo_problema,problema
A1,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,1,Crisis en el proyecto vital. Crisis de valores y de sentido
A2,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,2,Soledad e incomunicación
A3,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,3,Estado deprimido
A4,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,4,Vivencia de duelo
A5,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,5,Ideas suicidas
A6,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,6,Crisis suicidas
A7,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,7,Acto suicida en curso
A8,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,8,"Trastornos de ansiedad (crisis de ansiedad, ansiedad generalizada, fobia, obsesiones, histeria)"
A9,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,9,Trastorno de la personalidad
A10,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,10,"Trastorno psicótico (esquizofrenia, trastorno delirante)."
A11,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,11,Abuso o dependencia de sustancias psicoactivas
A12,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,12,Abuso o dependencia del alcohol
A13,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,13,Jugador habitual
A14,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,14,Adicción a nuevas tecnologías
A15,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,15,Anorexia.
A16,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,16,Bulimia.
A17,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,17,Problema por insomnio.
A18,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,18,Trastorno por identidad sexual.
A19,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,19,Trastornos del comportamiento sexual
A20,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,20,Disfunciones sexuales
A21,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,21,Crisis por haber sufrido violación o intento de violación recientemente
A22,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,22,Persona con problemas psicológicos por haber sufrido abusos sexuales recientemente
A23,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,23,Persona con problemas psicológicos por haber sufrido abusos sexuales en el pasado
A24,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,24,Crisis por aborto deseado o consumado
A25,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,25,Fracaso escolar
A26,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,26,Niño o adolescente con problemas psicológicos
A27,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,27,"Problema por enfermedad terminal (Sida, cáncer, etc.)"
A28,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,28,Problema por enfermedad grave (no terminal ni crónica)
A29,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,29,Enfermedad o problema médico no grave
A30,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,30,Enfermedad crónica grave (no necesariamente terminal)
A31,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,31,"Problema por un ""cambio externo"""
A32,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,32,Síndrome del jubilado
A33,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,33,Síndrome del ama de casa
A34,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,34,Síndrome del cuidador
A35,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,35,Problema por situación de parado
A36,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,36,Trastorno mental
A37,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,37,Abuso o dependencia de sustancias (Alcohol o drogas)
A38,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,38,Otras adicciones
A39,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,39,Trastornos de la alimentación
A40,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,40,Crisis o problema por enfermedad
A41,A,PROBLEMAS PSICOLÓGICOS Y PSIQUIÁTRICOS,41,Crisis psicologica/emocional por CORONAVIRUS
